+--------------+----------+---------------+-------------------+--------+-------+-------------------------+-------------------------+----------------------------------------------------+--------+----------------------------------------+----------+
|    corpus    |  optim   | learning_rate | start_decay_steps | length |  type |        start_time       |         end_time        |                     model_path                     |  score | path                                   |     size |
| Clean-de-en  | adadelta |       1       |        9875       |  4261  | train | 2019-07-20 15:28:36,782 | 2019-07-21 15:38:36,551 |                        None                        | 33.247 | wtmpc302-Clean-de-en.05                |  37.6KiB |
| Tagged-cs-en |   sgd    |      1.0      |       50000       | 66771  | train | 2019-07-12 20:07:17,002 | 2019-07-12 23:44:06,960 |                        None                        | 33.203 | wtmgws2-train-2019-07-13-T01+02:00.log | 573.9KiB |
| Tagged-cs-en |   sgd    |      1.0      |       50000       | 66771  | train | 2019-07-12 20:07:17,002 | 2019-07-12 23:44:06,960 |                        None                        | 33.203 | wtmgws2-train-2019-07-11T03+02:00.log  | 573.9KiB |
| Tagged-cs-en |   adam   |     0.001     |       21500       |  4701  | train | 2019-07-12 16:30:24,704 | 2019-07-12 20:06:54,989 |   /data/4dahmen/Tagged-cs-en/train/Tagged-cs-en    | 33.203 | wtmgws2-Tagged-cs-en12                 |  40.6KiB |
| Clean-cs-en  |   adam   |      0.01     |       50000       |  4691  | train | 2019-07-11 15:15:02,679 | 2019-07-11 18:33:01,319 |    /data/4dahmen/Clean-cs-en/train/Clean-cs-en     | 33.194 | wtmgws6-Clean-cs-en.05.log             |  40.4KiB |
| Clean-de-en  | adadelta |       1       |       50000       |  4261  | train | 2019-07-20 10:21:03,417 | 2019-07-20 15:28:30,683 |                        None                        | 33.157 | wtmpc302-Clean-de-en.04                |  37.6KiB |
| Clean-cs-en  |   sgd    |       1       |       10750       |  4581  | train | 2019-07-22 06:54:26,480 | 2019-07-22 09:47:49,043 |                        None                        | 32.991 | wtmgws6-Clean-cs-en-2-.24              |  40.4KiB |
| Clean-cs-en  |   sgd    |       1       |       10750       | 10531  | train | 2019-07-07 17:48:39,789 | 2019-07-07 20:39:44,110 |  /tmp/4dahmen/data/Clean-cs-en/train/Clean-cs-en   | 32.833 | wtmgws3-train-2019-07-07T17+02:00.log  | 112.9KiB |
| Tagged-cs-en |   adam   |     0.001     |       10750       |  4701  | train | 2019-07-12 12:54:24,197 | 2019-07-12 16:30:07,429 |   /data/4dahmen/Tagged-cs-en/train/Tagged-cs-en    | 32.809 | wtmgws2-Tagged-cs-en11                 |  40.6KiB |
| Clean-cs-en  |   sgd    |       1       |       50000       | 10771  | train | 2019-07-09 00:51:32,925 | 2019-07-09 03:33:51,182 |    /data/4dahmen/Clean-cs-en/train/Clean-cs-en     | 32.467 | wtmgws6-train-2019-07-09T00+02:00.log  | 110.0KiB |
| Clean-cs-en  |   sgd    |       1       |       50000       |  4581  | train | 2019-07-19 16:46:59,945 | 2019-07-19 19:40:19,096 |                        None                        | 32.334 | wtmgws6-Clean-cs-en-2-.02              |  40.4KiB |
| Clean-cs-en  |   sgd    |       1       |       50000       | 10521  | train | 2019-06-30 13:42:59,031 | 2019-06-30 16:59:39,696 |    /data/4dahmen/Clean-cs-en/train/Clean-cs-en     | 32.254 | wtmgws6-train-2019-06-30T13+02:00.log  | 112.6KiB |
| Clean-cs-en  |   sgd    |       1       |       50000       |  9971  | train | 2019-07-08 21:43:22,761 | 2019-07-09 00:23:08,082 |    /data/4dahmen/Clean-cs-en/train/Clean-cs-en     | 32.165 | wtmgws6-train-2019-07-08T21+02:00.log  | 105.4KiB |
| Clean-cs-en  |   sgd    |       1       |       50000       | 10521  | train | 2019-06-30 10:06:47,639 | 2019-06-30 13:15:36,361 |    /data/4dahmen/Clean-cs-en/train/Clean-cs-en     | 32.137 | wtmgws6-train-2019-06-30T10+02:00.log  | 112.6KiB |
| Clean-cs-en  |   sgd    |       1       |       50000       |  9751  | train | 2019-07-08 17:12:44,031 | 2019-07-08 20:05:51,911 |    /data/4dahmen/Clean-cs-en/train/Clean-cs-en     | 32.047 | wtmgws6-train-2019-07-08T17+02:00.log  | 103.8KiB |
| Clean-cs-en  |   sgd    |       1       |       50000       |  9941  | train | 2019-07-08 13:07:39,327 | 2019-07-08 16:01:15,832 |    /data/4dahmen/Clean-cs-en/train/Clean-cs-en     | 31.998 | wtmgws6-train-2019-07-08T13+02:00.log  | 105.1KiB |
| Tagged-cs-en |   sgd    |       1       |       50000       | 10531  | train | 2019-06-30 16:11:33,846 | 2019-06-30 19:43:27,934 |   /data/4dahmen/Tagged-cs-en/train/Tagged-cs-en    | 31.529 | wtmgws2-train-2019-06-30T16+02:00.log  | 112.8KiB |
| Tagged-cs-en |   sgd    |       1       |       10750       |  4711  | train | 2019-07-11 22:56:39,047 | 2019-07-12 02:10:29,640 |   /data/4dahmen/Tagged-cs-en/train/Tagged-cs-en    | 31.283 | wtmgws2-Tagged-cs-en07                 |  40.7KiB |
| Tagged-cs-en |   sgd    |       1       |        2500       | 35711  | train | 2019-07-14 01:02:13,658 | 2019-07-14 04:52:02,358 |   /data/4dahmen/Tagged-cs-en/train/Tagged-cs-en    | 28.461 | wtmgws2-train-2019-07-13T02+02:00.log  | 302.7KiB |
| Tagged-cs-en |   sgd    |       1       |        2500       |  4761  | train | 2019-07-13 02:54:38,873 | 2019-07-13 06:08:44,621 |   /data/4dahmen/Tagged-cs-en/train/Tagged-cs-en    | 28.461 | wtmgws2-Tagged-cs-en28                 |  41.0KiB |
| Clean-cs-en  | adadelta |       1       |       21500       |  4581  | train | 2019-07-20 04:56:39,586 | 2019-07-20 08:23:42,319 |                        None                        | 27.734 | wtmgws6-Clean-cs-en-2-.06              |  40.5KiB |
| Clean-cs-en  | adadelta |       1       |       50000       |  4581  | train | 2019-07-20 01:29:13,463 | 2019-07-20 04:56:26,374 |                        None                        | 27.237 | wtmgws6-Clean-cs-en-2-.05              |  40.5KiB |
| Tagged-cs-en | adadelta |       1       |       21500       |  4701  | train | 2019-07-13 09:42:44,943 | 2019-07-13 13:32:08,511 |   /data/4dahmen/Tagged-cs-en/train/Tagged-cs-en    | 26.992 | wtmgws2-Tagged-cs-en30                 |  40.7KiB |
| Tagged-de-en |   sgd    |      0.1      |       19750       |  9791  | train | 2019-07-02 03:11:09,203 | 2019-07-02 06:09:57,839 |   /data/4dahmen/Tagged-de-en/train/Tagged-de-en    | 26.049 | wtmgws2-train-2019-07-02T03+02:00.log  | 104.5KiB |
| Clean-de-en  |   sgd    |      0.1      |       19750       |  4501  | train | 2019-07-02 16:15:50,209 | 2019-07-02 19:01:20,089 |    /data/4dahmen/Clean-de-en/train/Clean-de-en     | 25.807 | wtmgws6-train-2019-07-02T16+02:00.log  |  37.8KiB |
| Clean-de-en  | adadelta |      0.1      |       50000       |  4261  | train | 2019-07-21 20:46:23,227 | 2019-07-22 01:53:51,243 |                        None                        | 24.435 | wtmpc302-Clean-de-en.07                |  37.7KiB |
| Tagged-cs-en |   sgd    |      0.1      |       50000       | 10531  | train | 2019-07-01 02:47:29,638 | 2019-07-01 06:19:42,950 |   /data/4dahmen/Tagged-cs-en/train/Tagged-cs-en    | 23.153 | wtmgws2-train-2019-07-01T02+02:00.log  | 113.3KiB |
